reference,value,footprint,MPN,manufacturer,Category,SKU,quantity
"C2,C1",1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,CL10A105KO8NNNC,Samsung,Ceramic Capacitors,CA0000456,2
C3,2.2uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,CL10A225KL8NNNC,Samsung,Ceramic Capacitors,CA0002238,1
C4,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,CL10B104KB8NNNC,Samsung,Ceramic Capacitors,UN0004465,1
C5,33uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C2012X5R1A336MTJ00E,TDK,Ceramic Capacitors,UN0002828,1
C6,470uF,CP_Elec_8x10.5,,,,,1
J1,Power input,TerminalBlock_bornier-2_P5.08mm,,,,,1
J2,LEDs,TerminalBlock_bornier-3_P5.08mm,,,,,1
J3,Ext MOSFET/relay,PinHeader_1x04_P2.54mm_Vertical,,,,,1
JP1,5V source,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm_NumberLabels,,,,,1
JP2,Ext VDD sw,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm_NumberLabels,,,,,1
L1,10uH,CYA0630,,,,,1
R1,470,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,ERJPA3J471V,Panasonic,Chip SMD Resistors,RE0206139,1
"R3,R2",4.7K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,CRCW06034K70FKEAHP,Vishay,Resistors,-,2
R4,100K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,RCC0805100KFKEA,Vishay,Chip SMD Resistors,-,1
R5,13.7K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,RK73H2ATTD1372F,KOA,Chip SMD Resistors,-,1
U1,ESP32-C3_SUPERMINI,MODULE_ESP32-C3_SUPERMINI_CASTELLATED,,,,,1
U2,SN74LVC1T45DRL,SOT-563,SN74LVC1T45DRLR,Texas Instruments (TI),uncategorized,IC0132467,1
U3,TPS54308,SOT-23-6_Handsoldering,TPS54308DDCR,Texas Instruments (TI),DC/DC Switching Regulators,PM0143720,1
