MPN,Qty,Designator,value,manufacturer,Category,SKU,Customer Supply,Customer Remark
CL10A105KO8NNNC,2,"C2,C1",1uF,Samsung,Ceramic Capacitors,CA0000456
CL10A225KL8NNNC,1,C3,2.2uF,Samsung,Ceramic Capacitors,CA0002238
CL10B104KB8NNNC,1,C4,100nF,Samsung,Ceramic Capacitors,UN0004465
C2012X5R1A336MTJ00E,1,C5,33uF,TDK,Ceramic Capacitors,UN0002828
,1,C6,470uF,,,
,1,J1,Power input,,,
,1,J2,LEDs,,,
,1,J3,Ext MOSFET/relay,,,
,2,"JP1,JP2",5V source,,,
,1,L1,10uH,,,
ERJPA3J471V,1,R1,470,Panasonic,Chip SMD Resistors,RE0206139
CRCW06034K70FKEAHP,2,"R3,R2",4.7K,Vishay,Resistors,-
RCC0805100KFKEA,1,R4,100K,Vishay,Chip SMD Resistors,-
RK73H2ATTD1372F,1,R5,13.7K,KOA,Chip SMD Resistors,-
,1,U1,ESP32-C3_SUPERMINI,,,
SN74LVC1T45DRLR,1,U2,SN74LVC1T45DRL,Texas Instruments (TI),uncategorized,IC0132467
TPS54308DDCR,1,U3,TPS54308,Texas Instruments (TI),DC/DC Switching Regulators,PM0143720
